Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,9,1398.0,1290.0,99.0,9.0,"December 13, 2020"
FEDERAL PRISON IN LOMPOC,0,1031.0,1028.0,0.0,3.0,"December 13, 2020"
CITY OF SANTA MARIA,48,5105.0,4850.0,180.0,75.0,"December 13, 2020"
COMMUNITY OF ORCUTT,6,617.0,573.0,36.0,8.0,"December 13, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,563.0,534.0,22.0,7.0,"December 13, 2020"
Out of County,,,,,,"December 13, 2020"
Pending,9,524.0,472.0,52.0,0.0,"December 13, 2020"
Total** ,145,13198.0,12378.0,680.0,140.0,"December 13, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",10,355.0,316.0,32.0,7.0,"December 12, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,41,1874.0,1717.0,142.0,15.0,"December 12, 2020"
CITY OF GOLETA,10,446.0,415.0,26.0,5.0,"December 12, 2020"
COMMUNITY OF ISLA VISTA,10,568.0,548.0,19.0,1.0,"December 12, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,359.0,323.0,33.0,3.0,"December 12, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,293.0,260.0,26.0,7.0,"December 12, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,34,1389.0,1260.0,120.0,9.0,"December 12, 2020"
FEDERAL PRISON IN LOMPOC,0,1031.0,1028.0,0.0,3.0,"December 12, 2020"
CITY OF SANTA MARIA,53,5057.0,4810.0,172.0,75.0,"December 12, 2020"
COMMUNITY OF ORCUTT,4,612.0,561.0,43.0,8.0,"December 12, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",8,557.0,528.0,22.0,7.0,"December 12, 2020"
Out of County,,,,,,"December 12, 2020"
Pending,13,515.0,464.0,51.0,0.0,"December 12, 2020"
Total** ,191,13056.0,12230.0,686.0,140.0,"December 12, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,345.0,309.0,29.0,7.0,"December 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1833.0,1693.0,125.0,15.0,"December 11, 2020"
CITY OF GOLETA,3,436.0,405.0,26.0,5.0,"December 11, 2020"
COMMUNITY OF ISLA VISTA,0,558.0,546.0,11.0,1.0,"December 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,355.0,319.0,33.0,3.0,"December 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,289.0,259.0,23.0,7.0,"December 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,13,1355.0,1241.0,105.0,9.0,"December 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1031.0,1028.0,0.0,3.0,"December 11, 2020"
CITY OF SANTA MARIA,12,5005.0,4762.0,168.0,75.0,"December 11, 2020"
COMMUNITY OF ORCUTT,7,608.0,548.0,52.0,8.0,"December 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,549.0,525.0,17.0,7.0,"December 11, 2020"
Out of County,,,0.0,0.0,0.0,"December 11, 2020"
Pending,7,502.0,448.0,54.0,,"December 11, 2020"
Total** ,59,12866.0,12083.0,643.0,140.0,"December 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,345.0,309.0,29.0,7.0,"December 11, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,8,1833.0,1693.0,125.0,15.0,"December 11, 2020"
CITY OF GOLETA,3,436.0,405.0,26.0,5.0,"December 11, 2020"
COMMUNITY OF ISLA VISTA,0,558.0,546.0,11.0,1.0,"December 11, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,355.0,319.0,33.0,3.0,"December 11, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,289.0,259.0,23.0,7.0,"December 11, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,13,1355.0,1241.0,105.0,9.0,"December 11, 2020"
FEDERAL PRISON IN LOMPOC,0,1031.0,1028.0,0.0,3.0,"December 11, 2020"
CITY OF SANTA MARIA,12,5005.0,4762.0,168.0,75.0,"December 11, 2020"
COMMUNITY OF ORCUTT,7,608.0,548.0,52.0,8.0,"December 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,549.0,525.0,17.0,7.0,"December 11, 2020"
Out of County,,,0.0,0.0,0.0,"December 11, 2020"
Pending,7,502.0,448.0,54.0,,"December 11, 2020"
Total** ,59,12866.0,12083.0,643.0,140.0,"December 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,342.0,300.0,35.0,7.0,"December 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,28,1825.0,1653.0,157.0,15.0,"December 10, 2020"
CITY OF GOLETA,9,432.0,383.0,44.0,5.0,"December 10, 2020"
COMMUNITY OF ISLA VISTA,3,558.0,541.0,16.0,1.0,"December 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,9,353.0,315.0,35.0,3.0,"December 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",7,287.0,249.0,31.0,7.0,"December 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,26,1342.0,1213.0,120.0,9.0,"December 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1031.0,1024.0,4.0,3.0,"December 10, 2020"
CITY OF SANTA MARIA,52,4993.0,4692.0,226.0,75.0,"December 10, 2020"
COMMUNITY OF ORCUTT,13,601.0,530.0,63.0,8.0,"December 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",7,547.0,519.0,21.0,7.0,"December 10, 2020"
Out of County,,,0.0,0.0,0.0,"December 10, 2020"
Pending,13,497.0,433.0,64.0,,"December 10, 2020"
Total** ,172,12808.0,11852.0,816.0,140.0,"December 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,337.0,295.0,35.0,7.0,"December 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,19,1797.0,1630.0,152.0,15.0,"December 9, 2020"
CITY OF GOLETA,6,423.0,380.0,38.0,5.0,"December 9, 2020"
COMMUNITY OF ISLA VISTA,0,555.0,538.0,16.0,1.0,"December 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,344.0,309.0,32.0,3.0,"December 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,280.0,244.0,29.0,7.0,"December 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1316.0,1202.0,105.0,9.0,"December 9, 2020"
FEDERAL PRISON IN LOMPOC,2,1031.0,1024.0,4.0,3.0,"December 9, 2020"
CITY OF SANTA MARIA,48,4941.0,4656.0,210.0,75.0,"December 9, 2020"
COMMUNITY OF ORCUTT,10,588.0,524.0,57.0,7.0,"December 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,540.0,517.0,16.0,7.0,"December 9, 2020"
Out of County,,,0.0,0.0,0.0,"December 9, 2020"
Pending,9,484.0,427.0,57.0,,"December 9, 2020"
Total** ,134,12636.0,11746.0,751.0,139.0,"December 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,337.0,295.0,35.0,7.0,"December 9, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,19,1797.0,1630.0,152.0,15.0,"December 9, 2020"
CITY OF GOLETA,6,423.0,380.0,38.0,5.0,"December 9, 2020"
COMMUNITY OF ISLA VISTA,0,555.0,538.0,16.0,1.0,"December 9, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,344.0,309.0,32.0,3.0,"December 9, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",4,280.0,244.0,29.0,7.0,"December 9, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1316.0,1202.0,105.0,9.0,"December 9, 2020"
FEDERAL PRISON IN LOMPOC,2,1031.0,1024.0,4.0,3.0,"December 9, 2020"
CITY OF SANTA MARIA,48,4941.0,4656.0,210.0,75.0,"December 9, 2020"
COMMUNITY OF ORCUTT,10,588.0,524.0,57.0,7.0,"December 9, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",5,540.0,517.0,16.0,7.0,"December 9, 2020"
Out of County,,,0.0,0.0,0.0,"December 9, 2020"
Pending,9,484.0,427.0,57.0,,"December 9, 2020"
Total** ,134,12636.0,11746.0,751.0,139.0,"December 9, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,331.0,293.0,31.0,7.0,"December 8, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,24,1778.0,1618.0,145.0,15.0,"December 8, 2020"
CITY OF GOLETA,3,417.0,375.0,37.0,5.0,"December 8, 2020"
COMMUNITY OF ISLA VISTA,2,555.0,534.0,20.0,1.0,"December 8, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,338.0,307.0,28.0,3.0,"December 8, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",5,276.0,240.0,29.0,7.0,"December 8, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,22,1297.0,1184.0,104.0,9.0,"December 8, 2020"
FEDERAL PRISON IN LOMPOC,0,1029.0,1024.0,2.0,3.0,"December 8, 2020"
CITY OF SANTA MARIA,38,4893.0,4634.0,184.0,75.0,"December 8, 2020"
COMMUNITY OF ORCUTT,15,578.0,517.0,54.0,7.0,"December 8, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,535.0,516.0,12.0,7.0,"December 8, 2020"
Out of County,,,0.0,0.0,0.0,"December 8, 2020"
Pending,4,475.0,421.0,54.0,,"December 8, 2020"
Total** ,125,12502.0,11663.0,700.0,139.0,"December 8, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",8,327.0,290.0,30.0,7.0,"December 7, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,33,1757.0,1618.0,124.0,15.0,"December 7, 2020"
CITY OF GOLETA,6,414.0,372.0,37.0,5.0,"December 7, 2020"
COMMUNITY OF ISLA VISTA,6,553.0,533.0,19.0,1.0,"December 7, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,10,334.0,303.0,28.0,3.0,"December 7, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,271.0,237.0,27.0,7.0,"December 7, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,19,1275.0,1166.0,100.0,9.0,"December 7, 2020"
FEDERAL PRISON IN LOMPOC,2,1029.0,1024.0,2.0,3.0,"December 7, 2020"
CITY OF SANTA MARIA,12,4853.0,4611.0,167.0,75.0,"December 7, 2020"
COMMUNITY OF ORCUTT,7,564.0,514.0,44.0,6.0,"December 7, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,531.0,512.0,12.0,7.0,"December 7, 2020"
Out of County,,,0.0,0.0,0.0,"December 7, 2020"
Pending,10,471.0,418.0,53.0,,"December 7, 2020"
Total** ,117,12379.0,11598.0,643.0,138.0,"December 7, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,307.0,277.0,23.0,7.0,"December 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,17,1659.0,1586.0,58.0,15.0,"December 4, 2020"
CITY OF GOLETA,5,392.0,354.0,33.0,5.0,"December 4, 2020"
COMMUNITY OF ISLA VISTA,2,538.0,527.0,10.0,1.0,"December 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,319.0,292.0,24.0,3.0,"December 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,255.0,230.0,18.0,7.0,"December 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,14,1202.0,1120.0,73.0,9.0,"December 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1024.0,0.0,3.0,"December 4, 2020"
CITY OF SANTA MARIA,14,4731.0,4551.0,105.0,75.0,"December 4, 2020"
COMMUNITY OF ORCUTT,3,528.0,494.0,28.0,6.0,"December 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,523.0,503.0,13.0,7.0,"December 4, 2020"
Out of County,,,0.0,0.0,0.0,"December 4, 2020"
Pending,5,436.0,408.0,28.0,,"December 4, 2020"
Total** ,75,11917.0,11366.0,413.0,138.0,"December 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",10,302.0,274.0,21.0,7.0,"December 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,13,1642.0,1562.0,65.0,15.0,"December 3, 2020"
CITY OF GOLETA,10,387.0,348.0,34.0,5.0,"December 3, 2020"
COMMUNITY OF ISLA VISTA,5,536.0,525.0,10.0,1.0,"December 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,314.0,287.0,24.0,3.0,"December 3, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",11,252.0,223.0,22.0,7.0,"December 3, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,1188.0,1108.0,71.0,9.0,"December 3, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1024.0,0.0,3.0,"December 3, 2020"
CITY OF SANTA MARIA,41,4717.0,4530.0,112.0,75.0,"December 3, 2020"
COMMUNITY OF ORCUTT,8,525.0,491.0,28.0,6.0,"December 3, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,521.0,498.0,16.0,7.0,"December 3, 2020"
Out of County,,,0.0,0.0,0.0,"December 3, 2020"
Pending,11,434.0,408.0,25.0,,"December 3, 2020"
Total** ,134,11845.0,11278.0,428.0,138.0,"December 3, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,292.0,270.0,15.0,7.0,"December 2, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,12,1629.0,1533.0,81.0,15.0,"December 2, 2020"
CITY OF GOLETA,9,378.0,346.0,27.0,5.0,"December 2, 2020"
COMMUNITY OF ISLA VISTA,2,532.0,525.0,6.0,1.0,"December 2, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,3,310.0,282.0,25.0,3.0,"December 2, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",3,241.0,220.0,14.0,7.0,"December 2, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,18,1172.0,1098.0,65.0,9.0,"December 2, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1024.0,0.0,3.0,"December 2, 2020"
CITY OF SANTA MARIA,21,4678.0,4489.0,114.0,75.0,"December 2, 2020"
COMMUNITY OF ORCUTT,7,517.0,482.0,29.0,6.0,"December 2, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,519.0,496.0,16.0,7.0,"December 2, 2020"
Out of County,,,0.0,0.0,0.0,"December 2, 2020"
Pending,6,425.0,401.0,24.0,,"December 2, 2020"
Total** ,89,11720.0,11166.0,416.0,138.0,"December 2, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,287.0,267.0,13.0,7.0,"December 1, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,3,1617.0,1516.0,86.0,15.0,"December 1, 2020"
CITY OF GOLETA,2,369.0,344.0,20.0,5.0,"December 1, 2020"
COMMUNITY OF ISLA VISTA,0,530.0,522.0,7.0,1.0,"December 1, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,307.0,281.0,23.0,3.0,"December 1, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,238.0,217.0,14.0,7.0,"December 1, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,1154.0,1088.0,57.0,9.0,"December 1, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1024.0,0.0,3.0,"December 1, 2020"
CITY OF SANTA MARIA,7,4657.0,4473.0,110.0,74.0,"December 1, 2020"
COMMUNITY OF ORCUTT,4,510.0,478.0,26.0,6.0,"December 1, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,516.0,493.0,16.0,7.0,"December 1, 2020"
Out of County,,,0.0,0.0,0.0,"December 1, 2020"
Pending,1,419.0,397.0,22.0,,"December 1, 2020"
Total** ,29,11631.0,11100.0,394.0,137.0,"December 1, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,286.0,266.0,13.0,7.0,"November 30, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,9,1613.0,1504.0,95.0,14.0,"November 30, 2020"
CITY OF GOLETA,4,367.0,341.0,21.0,5.0,"November 30, 2020"
COMMUNITY OF ISLA VISTA,1,530.0,519.0,10.0,1.0,"November 30, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,305.0,277.0,25.0,3.0,"November 30, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,238.0,216.0,15.0,7.0,"November 30, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,1146.0,1084.0,53.0,9.0,"November 30, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1024.0,0.0,3.0,"November 30, 2020"
CITY OF SANTA MARIA,17,4650.0,4462.0,114.0,74.0,"November 30, 2020"
COMMUNITY OF ORCUTT,3,506.0,476.0,24.0,6.0,"November 30, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,515.0,493.0,15.0,7.0,"November 30, 2020"
Out of County,,,0.0,0.0,0.0,"November 30, 2020"
Pending,6,419.0,394.0,25.0,,"November 30, 2020"
Total** ,52,11602.0,11056.0,410.0,136.0,"November 30, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",0,278.0,251.0,20.0,7.0,"November 25, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,14,1530.0,1428.0,88.0,14.0,"November 25, 2020"
CITY OF GOLETA,4,349.0,322.0,22.0,5.0,"November 25, 2020"
COMMUNITY OF ISLA VISTA,2,517.0,490.0,26.0,1.0,"November 25, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,282.0,256.0,23.0,3.0,"November 25, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,223.0,206.0,10.0,7.0,"November 25, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,13,1099.0,1032.0,58.0,9.0,"November 25, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1023.0,1.0,3.0,"November 25, 2020"
CITY OF SANTA MARIA,1,4521.0,4352.0,96.0,73.0,"November 25, 2020"
COMMUNITY OF ORCUTT,3,481.0,449.0,26.0,6.0,"November 25, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,501.0,490.0,4.0,7.0,"November 25, 2020"
Out of County,,,0.0,0.0,0.0,"November 25, 2020"
Pending,2,397.0,379.0,18.0,,"November 25, 2020"
Total** ,40,11205.0,10678.0,392.0,135.0,"November 25, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",5,278.0,251.0,20.0,7.0,"November 24, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,21,1516.0,1413.0,89.0,14.0,"November 24, 2020"
CITY OF GOLETA,6,345.0,321.0,19.0,5.0,"November 24, 2020"
COMMUNITY OF ISLA VISTA,5,515.0,486.0,28.0,1.0,"November 24, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,282.0,255.0,24.0,3.0,"November 24, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,222.0,205.0,10.0,7.0,"November 24, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,17,1086.0,1031.0,46.0,9.0,"November 24, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1023.0,1.0,3.0,"November 24, 2020"
CITY OF SANTA MARIA,26,4520.0,4332.0,115.0,73.0,"November 24, 2020"
COMMUNITY OF ORCUTT,8,478.0,447.0,25.0,6.0,"November 24, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",3,501.0,490.0,4.0,7.0,"November 24, 2020"
Out of County,,,0.0,0.0,0.0,"November 24, 2020"
Pending,2,396.0,378.0,18.0,,"November 24, 2020"
Total** ,100,11166.0,10632.0,399.0,135.0,"November 24, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,273.0,249.0,17.0,7.0,"November 23, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,10,1496.0,1410.0,72.0,14.0,"November 23, 2020"
CITY OF GOLETA,1,339.0,321.0,13.0,5.0,"November 23, 2020"
COMMUNITY OF ISLA VISTA,2,510.0,482.0,27.0,1.0,"November 23, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,6,277.0,250.0,24.0,3.0,"November 23, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,220.0,200.0,13.0,7.0,"November 23, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,1069.0,1026.0,34.0,9.0,"November 23, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1023.0,1.0,3.0,"November 23, 2020"
CITY OF SANTA MARIA,19,4494.0,4319.0,102.0,73.0,"November 23, 2020"
COMMUNITY OF ORCUTT,3,470.0,443.0,21.0,6.0,"November 23, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,498.0,489.0,2.0,7.0,"November 23, 2020"
Out of County,,,0.0,0.0,0.0,"November 23, 2020"
Pending,2,394.0,376.0,18.0,,"November 23, 2020"
Total** ,54,11067.0,10588.0,344.0,135.0,"November 23, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,271.0,249.0,15.0,7.0,"November 22, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,21,1486.0,1411.0,61.0,14.0,"November 22, 2020"
CITY OF GOLETA,3,338.0,324.0,9.0,5.0,"November 22, 2020"
COMMUNITY OF ISLA VISTA,4,508.0,483.0,24.0,1.0,"November 22, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,271.0,251.0,17.0,3.0,"November 22, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,219.0,193.0,19.0,7.0,"November 22, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,7,1061.0,1024.0,29.0,8.0,"November 22, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1023.0,1.0,3.0,"November 22, 2020"
CITY OF SANTA MARIA,23,4475.0,4315.0,88.0,72.0,"November 22, 2020"
COMMUNITY OF ORCUTT,6,467.0,444.0,17.0,6.0,"November 22, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,498.0,484.0,7.0,7.0,"November 22, 2020"
Out of County,,,0.0,0.0,0.0,"November 22, 2020"
Pending,5,392.0,375.0,17.0,,"November 22, 2020"
Total** ,79,11013.0,10576.0,304.0,133.0,"November 22, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",3,263.0,245.0,11.0,7.0,"November 21, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,11,1460.0,1384.0,62.0,14.0,"November 21, 2020"
CITY OF GOLETA,2,332.0,317.0,10.0,5.0,"November 21, 2020"
COMMUNITY OF ISLA VISTA,6,501.0,474.0,26.0,1.0,"November 21, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,267.0,248.0,16.0,3.0,"November 21, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",6,218.0,190.0,21.0,7.0,"November 21, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,1047.0,1004.0,35.0,8.0,"November 21, 2020"
FEDERAL PRISON IN LOMPOC,0,1027.0,1023.0,1.0,3.0,"November 21, 2020"
CITY OF SANTA MARIA,40,4437.0,4267.0,98.0,72.0,"November 21, 2020"
COMMUNITY OF ORCUTT,8,461.0,431.0,24.0,6.0,"November 21, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,498.0,481.0,10.0,7.0,"November 21, 2020"
Out of County,,,0.0,0.0,0.0,"November 21, 2020"
Pending,5,423.0,404.0,19.0,,"November 21, 2020"
Total** ,95,10934.0,10468.0,333.0,133.0,"November 21, 2020"
