Geographic Area,Daily Cases,Total  Confirmed Cases,Recovered by Region,Still infectious by Region,Number of Deaths,Date
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 11, 2020"
CITY OF SANTA MARIA,45,3176.0,3013.0,123.0,40.0,"August 11, 2020"
COMMUNITY OF ORCUTT,3,226.0,209.0,14.0,3.0,"August 11, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",4,283.0,268.0,13.0,2.0,"August 11, 2020"
Out of County,,,0.0,0.0,0.0,"August 11, 2020"
Pending,3,270.0,248.0,22.0,,"August 11, 2020"
Total**,78,7074.0,6691.0,310.0,73.0,"August 11, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",6,167.0,154.0,9.0,5.0,"August 10, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,30,915.0,860.0,49.0,6.0,"August 10, 2020"
CITY OF GOLETA,13,169.0,150.0,16.0,3.0,"August 10, 2020"
COMMUNITY OF ISLA VISTA,14,94.0,69.0,25.0,0.0,"August 10, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,5,123.0,115.0,7.0,1.0,"August 10, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",2,80.0,74.0,4.0,2.0,"August 10, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,20,528.0,489.0,32.0,7.0,"August 10, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 10, 2020"
CITY OF SANTA MARIA,69,3129.0,2973.0,116.0,40.0,"August 10, 2020"
COMMUNITY OF ORCUTT,6,223.0,209.0,11.0,3.0,"August 10, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",6,279.0,263.0,14.0,2.0,"August 10, 2020"
Out of County,,,0.0,0.0,0.0,"August 10, 2020"
Pending,16,270.0,246.0,23.0,,"August 10, 2020"
Total**,187,6996.0,6618.0,306.0,72.0,"August 10, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,156.0,148.0,5.0,4.0,"August 7, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,5,876.0,833.0,37.0,6.0,"August 7, 2020"
CITY OF GOLETA,1,155.0,147.0,5.0,3.0,"August 7, 2020"
COMMUNITY OF ISLA VISTA,5,74.0,54.0,20.0,0.0,"August 7, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,116.0,114.0,1.0,1.0,"August 7, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",1,75.0,72.0,1.0,2.0,"August 7, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,8,499.0,466.0,26.0,7.0,"August 7, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 7, 2020"
CITY OF SANTA MARIA,26,3012.0,2901.0,73.0,37.0,"August 7, 2020"
COMMUNITY OF ORCUTT,2,214.0,208.0,3.0,3.0,"August 7, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,269.0,261.0,6.0,2.0,"August 7, 2020"
Out of County,,,0.0,0.0,1.0,"August 7, 2020"
Pending,5,239.0,217.0,21.0,,"August 7, 2020"
Total**,58,6704.0,6437.0,198.0,69.0,"August 7, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",2,154.0,147.0,4.0,4.0,"August 6, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,6,871.0,825.0,40.0,6.0,"August 6, 2020"
CITY OF GOLETA,3,154.0,145.0,6.0,3.0,"August 6, 2020"
COMMUNITY OF ISLA VISTA,13,69.0,52.0,17.0,0.0,"August 6, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,1,115.0,113.0,1.0,1.0,"August 6, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74.0,72.0,0.0,2.0,"August 6, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,5,491.0,460.0,24.0,7.0,"August 6, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 6, 2020"
CITY OF SANTA MARIA,35,2990.0,2875.0,78.0,36.0,"August 6, 2020"
COMMUNITY OF ORCUTT,3,213.0,205.0,5.0,3.0,"August 6, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",1,267.0,260.0,5.0,2.0,"August 6, 2020"
Out of County,,,0.0,0.0,1.0,"August 6, 2020"
Pending,8,235.0,209.0,25.0,,"August 6, 2020"
Total**,77,6652.0,6379.0,205.0,68.0,"August 6, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1,153.0,145.0,5.0,4.0,"August 5, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,17,866.0,813.0,48.0,5.0,"August 5, 2020"
CITY OF GOLETA,4,151.0,142.0,6.0,3.0,"August 5, 2020"
COMMUNITY OF ISLA VISTA,1,56.0,46.0,10.0,0.0,"August 5, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,2,114.0,111.0,2.0,1.0,"August 5, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74.0,72.0,0.0,2.0,"August 5, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,6,486.0,456.0,23.0,7.0,"August 5, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 5, 2020"
CITY OF SANTA MARIA,19,2960.0,2826.0,97.0,36.0,"August 5, 2020"
COMMUNITY OF ORCUTT,2,210.0,203.0,4.0,3.0,"August 5, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",2,266.0,260.0,4.0,2.0,"August 5, 2020"
Out of County,,,0.0,0.0,1.0,"August 5, 2020"
Pending,6,231.0,205.0,25.0,,"August 5, 2020"
Total**,60,6586.0,6295.0,224.0,67.0,"August 5, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",4,152.0,145.0,5.0,2.0,"August 4, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,29,849.0,797.0,47.0,5.0,"August 4, 2020"
CITY OF GOLETA,3,147.0,138.0,6.0,3.0,"August 4, 2020"
COMMUNITY OF ISLA VISTA,2,55.0,45.0,10.0,0.0,"August 4, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,4,112.0,109.0,2.0,1.0,"August 4, 2020"
"SANTA YNEZ VALLEY including the Cities of Solvang & Buellton, and the communities of Santa Ynez, Los Alamos, Los Olivos and Ballard",0,74.0,71.0,1.0,2.0,"August 4, 2020"
CITY OF LOMPOC and the communities of Mission Hills and Vandenberg Village,1,480.0,450.0,23.0,7.0,"August 4, 2020"
FEDERAL PRISON IN LOMPOC,0,1019.0,1016.0,0.0,3.0,"August 4, 2020"
CITY OF SANTA MARIA,12,2941.0,2807.0,98.0,35.0,"August 4, 2020"
COMMUNITY OF ORCUTT,1,208.0,201.0,4.0,3.0,"August 4, 2020"
"UNINCORPORATED AREAS of Sisquoc, Casmalia, Garey,  Cuyama, New Cuyama, and the City of Guadalupe",0,264.0,255.0,7.0,2.0,"August 4, 2020"
Out of County,,,0.0,0.0,1.0,"August 4, 2020"
Pending,6,225.0,201.0,24.0,,"August 4, 2020"
Total**,62,6526.0,6235.0,227.0,64.0,"August 4, 2020"
"SOUTH COUNTY UNINCORPORATED AREA includes communities of Montecito, Summerland and the City of Carpinteria",1 ,148.0,139.0,7.0,2.0,"August 3, 2020"
CITY OF SANTA BARBARA and the unincorporated area of Mission Canyon,4,820.0,774.0,41.0,5.0,"August 3, 2020"
CITY OF GOLETA,0,144.0,135.0,6.0,3.0,"August 3, 2020"
COMMUNITY OF ISLA VISTA,0,53.0,45.0,8.0,0.0,"August 3, 2020"
UNINCORPORATED AREA OF THE GOLETA VALLEY AND GAVIOTA,0,108.0,105.0,2.0,1.0,"August 3, 2020"
